trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",20,0,-121.93012626661044,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.9999995000000417}",30,0,-223.02842382525034,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 3}",0
3,False,"{'a': 0.1, 'e': 0.9999980000006666}",25,0,-169.90092852180126,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.999995500003375}",20,3,-56.507089148220665,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 0}",1
5,False,"{'a': 0.1, 'e': 0.9999920000106667}",20,0,-197.35494570177497,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
6,False,"{'a': 0.1, 'e': 0.9999875000260416}",20,14,7.999784582227987,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.1, 'e': 0.999982000054}",20,0,-115.47657636617083,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.9999755001000415}",20,0,-111.38879224487819,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.9999680001706663}",20,0,-210.91472982542052,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
10,False,"{'a': 0.1, 'e': 0.9999595002733742}",25,0,-113.41839723784861,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9999500004166653}",30,0,-249.56808010523108,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
12,False,"{'a': 0.1, 'e': 0.9999395006100392}",20,0,-61.87345535364875,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.9999280008639958}",30,0,-199.92134323451236,"{0: 16, 1: 5, 2: 3, 3: 4, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.9999155011900349}",20,3,-91.79282621654555,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 0}",1
15,False,"{'a': 0.1, 'e': 0.9999020016006562}",25,0,-135.25976733610318,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9998875021093592}",20,0,-191.0430187331948,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.9998720027306434}",25,0,-144.55690486482342,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.9998555034800082}",25,0,-63.09522422318983,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.9998380043739528}",20,0,-68.08908641828076,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.9998195054299763}",30,0,-127.68145254871479,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.9998000066665778}",25,0,-201.11155894694505,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
