trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-145.18229586697024,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-122.53053730171226,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-139.68763613882481,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-232.05335684386606,"{0: 17, 1: 8, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-92.2461015751442,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-146.33667214442485,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-75.29886872616089,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-149.951790674448,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-130.14442589595572,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,9,3.3744322419908235,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-114.94838920978317,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-152.95019765534565,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-112.58699862008785,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-70.34144119038953,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,5,-214.48315894561114,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",1
